artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
James N. Black,Drums,1905-04-23,1905-06-10,FALSE,1940-01-01,1988-01-01,48,NaN
Jim Black,Drums,1905-05-20,NaN,TRUE,1967-01-01,NaN,53,NaN
Cindy Blackman,Drums,1959-11-18,NaN,TRUE,1959-11-18,NaN,60,NaN
Ed Blackwell,Drums,1929-10-10,1992-10-07,FALSE,1929-10-10,1992-10-07,62,Kidney Failure
Brian Blade,Drums,1970-07-25,NaN,TRUE,1970-07-25,NaN,50,NaN
Art Blakey,Drums,1919-10-11,1990-10-16,FALSE,1919-10-11,1990-10-16,71,Cancer (Lung)
Johnny Blowers,Drums,1905-03-25,1905-06-28,FALSE,1911-01-01,2006-01-01,95,NaN
Tiny Bradshaw,Drums,1907-09-23,1958-11-26,FALSE,1907-09-23,1958-11-26,51,Stroke
Stein Inge Brækhus,Drums,1967-02-12,NaN,TRUE,1967-02-12,NaN,53,NaN
Øyvind Brandtsegg,Percussion,1971-02-16,NaN,TRUE,1971-02-16,NaN,49,NaN
Bill Bruford,Drums,1949-05-17,NaN,TRUE,1949-05-17,NaN,71,NaN
Larry Bunker,Drums,1928-11-04,2005-03-08,FALSE,1928-11-04,2005-03-08,76,Stroke
Dominik Burkhalter,Drums,1905-05-28,NaN,TRUE,1975-01-01,NaN,45,NaN
Ronnie Burrage,Drums,1905-05-12,NaN,TRUE,1959-01-01,NaN,61,NaN
Frank Butler,Drums,1928-02-18,1984-07-24,FALSE,1928-02-18,1984-07-24,56,Cancer (Lung)
Oleg Butman,Drums,1905-05-19,NaN,TRUE,1966-01-01,NaN,54,NaN
Will Calhoun,Drums,1964-07-22,NaN,TRUE,1964-07-22,NaN,56,NaN
Candido Camero,Percussion,1921-04-22,NaN,TRUE,1921-04-22,NaN,99,NaN
Terri Lyne Carrington,Drums,1965-08-04,NaN,TRUE,1965-08-04,NaN,55,NaN
Michael Carvin,Drums,1944-12-12,NaN,TRUE,1944-12-12,NaN,75,NaN
Sid Catlett,Drums,1905-03-24,1951-03-25,FALSE,1910-01-01,1951-03-25,41,Heart Attack
Nick Ceroli,Drums,1939-12-22,1985-08-11,FALSE,1939-12-22,1985-08-11,45,Heart Attack
Dennis Chambers,Drums,1959-05-09,NaN,TRUE,1959-05-09,NaN,61,NaN
Joe Chambers,Drums,1942-06-25,NaN,TRUE,1942-06-25,NaN,78,NaN
Jim Chapin,Drums,1905-04-02,1905-07-01,FALSE,1919-01-01,2009-01-01,90,NaN
Dennis Charles,Drums,1905-04-16,1905-06-20,FALSE,1933-01-01,1998-01-01,65,NaN
Jon Christensen,Drums,1943-03-20,2020-02-17,FALSE,1943-03-20,2020-02-17,76,NaN
Svein Christiansen,Percussion,1941-08-06,2015-11-25,FALSE,1941-08-06,2015-11-25,74,NaN
Kenny Clare,Drums,1929-06-08,1985-01-11,FALSE,1929-06-08,1985-01-11,55,Surgery Complications
Mike Clark,Drums,1946-10-03,NaN,TRUE,1946-10-03,NaN,74,NaN
Kenny Clarke,Drums,1914-01-09,1985-01-26,FALSE,1914-01-09,1985-01-26,71,Heart Attack
Gerald Cleaver,Drums,1963-05-04,NaN,TRUE,1963-05-04,NaN,57,NaN
Jimmy Cobb,Drums,1929-01-20,2020-05-24,FALSE,1929-01-20,2020-05-24,91,Cancer (Lung)
Billy Cobham,Drums,1944-05-16,NaN,TRUE,1944-05-16,NaN,76,NaN
Vinnie Colaiuta,Drums,1956-02-05,NaN,TRUE,1956-02-05,NaN,64,NaN
Cozy Cole,Drums,1909-10-17,1981-01-09,FALSE,1909-10-17,1981-01-09,71,Cancer
Clark Coolidge,Drums,1905-04-22,NaN,TRUE,1939-01-01,NaN,81,NaN
Pierre Courbois,Drums,1905-04-23,NaN,TRUE,1940-01-01,NaN,80,NaN
Tony Crombie,Drums,1925-08-27,1999-10-18,FALSE,1925-08-27,1999-10-18,74,NaN
Stanley Crouch,Drums,1905-04-28,NaN,TRUE,1945-01-01,NaN,75,NaN
Adam Cruz,Drums,1905-05-23,NaN,TRUE,1970-01-01,NaN,50,NaN
Andrew Cyrille,Drums,1939-11-10,NaN,TRUE,1939-11-10,NaN,80,NaN
Erland Dahlen,Drums,1971-05-15,NaN,TRUE,1971-05-15,NaN,49,NaN
Børre Dalhaug,Drums,1974-04-29,NaN,TRUE,1974-04-29,NaN,46,NaN
Quincy Davis,Drums,1905-05-30,NaN,TRUE,1977-01-01,NaN,43,NaN
Alan Dawson,Drums,1929-07-14,1996-02-23,FALSE,1929-07-14,1996-02-23,66,Leukemia
Barrett Deems,Drums,1905-03-28,1905-06-20,FALSE,1914-01-01,1998-01-01,84,Pneumonia
Jack DeJohnette,Drums,1942-08-09,NaN,TRUE,1942-08-09,NaN,78,NaN
Eric Delaney,Drums,1905-04-07,1905-07-03,FALSE,1924-01-01,2011-01-01,87,Brain Hemorrhage
John Densmore,Drums,1944-12-01,NaN,TRUE,1944-12-01,NaN,75,NaN
Buddy Deppenschmidt,Drums,1905-04-19,NaN,TRUE,1936-01-01,NaN,84,NaN
Joe DeRenzo,Percussion,1958-11-01,NaN,TRUE,1958-11-01,NaN,61,NaN
Xavier Desandre Navarre,Percussion,1905-05-14,NaN,TRUE,1961-01-01,NaN,59,NaN
Whit Dickey,Drums,1954-05-28,NaN,TRUE,1954-05-28,NaN,66,NaN
Baby Dodds,Drums,1905-03-12,1959-02-14,FALSE,1898-01-01,1959-02-14,61,Stroke
Bill Dowdy,Drums,1932-08-15,2017-05-12,FALSE,1932-08-15,2017-05-12,84,NaN
Hamid Drake,Drums,1955-08-03,NaN,TRUE,1955-08-03,NaN,65,NaN
Martin Drew,Drums,1944-02-11,2010-07-29,FALSE,1944-02-11,2010-07-29,66,Heart Attack
Buzzy Drootin,Drums,1905-04-03,1905-06-22,FALSE,1920-01-01,2000-01-01,80,Cancer
Billy Drummond,Drums,1959-06-15,NaN,TRUE,1959-06-15,NaN,61,NaN
Billie Davies,Drums,1955-12-10,NaN,TRUE,1955-12-10,NaN,64,NaN
Marc Edwards,Drums,1949-07-23,NaN,TRUE,1949-07-23,NaN,71,NaN
Kenneth Ekornes,Percussion,1974-07-07,NaN,TRUE,1974-07-07,NaN,46,NaN
Torstein Ellingsen,Drums,1966-08-07,NaN,TRUE,1966-08-07,NaN,54,NaN
Peter Erskine,Drums,1954-06-05,NaN,TRUE,1954-06-05,NaN,66,NaN
Jon Fält,Drums,1905-06-01,NaN,TRUE,1979-01-01,NaN,41,NaN
Joe Farnsworth,Drums,1905-05-21,NaN,TRUE,1968-01-01,NaN,52,NaN
Billy Ficca,Drums,1950-02-15,NaN,TRUE,1950-02-15,NaN,70,NaN
Chuck Flores,Drums,1935-01-01,2016-01-01,FALSE,1935-01-01,2016-01-01,81,NaN
Al Foster,Drums,1943-01-18,NaN,TRUE,1943-01-18,NaN,77,NaN
Vernel Fournier,Drums,1905-04-11,1905-06-22,FALSE,1928-01-01,2000-01-01,72,Brain Hemorrhage
"David ""Panama"" Francis",Drums,1918-12-21,2001-11-13,FALSE,1918-12-21,2001-11-13,82,Stroke
Future Man,Percussion,1957-10-13,NaN,TRUE,1957-10-13,NaN,62,NaN
Alvin Fielder,Drums,1935-11-23,2019-01-05,FALSE,1935-11-23,2019-01-05,83,Heart Failure
Shinya Fukumori,Drums,1984-01-05,NaN,TRUE,1984-01-05,NaN,36,NaN
Steve Gadd,Drums,1945-04-09,NaN,TRUE,1945-04-09,NaN,75,NaN
Rich Galichon,Drums,1905-05-21,NaN,TRUE,1968-01-01,NaN,52,NaN
Stéphane Galland,Drums,1969-10-27,NaN,TRUE,1969-10-27,NaN,50,NaN
Alvester Garnett,Drums,1905-05-23,NaN,TRUE,1970-01-01,NaN,50,NaN
Håkon Gebhardt,Drums,1969-06-21,NaN,TRUE,1969-06-21,NaN,51,NaN
Peter Giger,Drums,1905-04-22,NaN,TRUE,1939-01-01,NaN,81,NaN
Marcus Gilmore,Drums,1986-10-10,NaN,TRUE,1986-10-10,NaN,33,NaN
Jan Martin Gismervik,Drums,1905-06-10,NaN,TRUE,1988-01-01,NaN,32,NaN
Sverre Gjørvad,Drums,1966-10-26,NaN,TRUE,1966-10-26,NaN,53,NaN
Paul Goldberg,Drums,1905-05-12,NaN,TRUE,1959-01-01,NaN,61,NaN
Danny Gottlieb,Drums,1953-04-18,NaN,TRUE,1953-04-18,NaN,67,NaN
Bobby Graham,Drums,1940-03-11,2009-09-14,FALSE,1940-03-11,2009-09-14,69,Cancer (Stomach)
Milford Graves,Drums,1941-08-20,NaN,TRUE,1941-08-20,NaN,79,NaN
Freddie Gruber,Drums,1927-05-27,2011-10-11,FALSE,1927-05-27,2011-10-11,84,NaN
Benny Greb,Drums,1980-06-13,NaN,TRUE,1980-06-13,NaN,40,NaN
Mark Guiliana,Drums,1980-09-02,NaN,TRUE,1980-09-02,NaN,40,NaN
Omar Hakim,Drums,1959-02-12,NaN,TRUE,1959-02-12,NaN,61,NaN
Dana Hall,Drums,1969-03-13,NaN,TRUE,1969-03-13,NaN,51,NaN
Tubby Hall,Drums,1905-03-09,1905-04-28,FALSE,1895-01-01,1945-01-01,49,NaN
Chico Hamilton,Drums,1921-09-20,2013-11-25,FALSE,1921-09-20,2013-11-25,92,NaN
Jeff Hamilton,Drums,1953-08-04,NaN,TRUE,1953-08-04,NaN,67,NaN
Ole Hamre,Drums,1959-10-10,NaN,TRUE,1959-10-10,NaN,60,NaN
Ole Jacob Hansen,Drums,1940-04-16,2000-03-06,FALSE,1940-04-16,2000-03-06,59,NaN
Trond Sverre Hansen,Drums,1964-01-27,NaN,TRUE,1964-01-27,NaN,56,NaN
Jake Hanna,Drums,1931-04-04,2010-02-12,FALSE,1931-04-04,2010-02-12,78,Blood Disease
Al Harewood,Drums,1905-04-06,1905-07-06,FALSE,1923-01-01,2014-01-01,91,NaN
Eric Harland,Drums,1976-11-08,NaN,TRUE,1976-11-08,NaN,43,NaN
Beaver Harris,Drums,1905-04-19,1905-06-13,FALSE,1936-01-01,1991-01-01,55,Cancer (Prostate)
Gavin Harrison,Drums,1963-05-28,NaN,TRUE,1963-05-28,NaN,57,NaN
Billy Hart,Drums,1940-11-29,NaN,TRUE,1940-11-29,NaN,79,NaN
Jakop Janssønn Hauan,Drums,1986-07-11,NaN,TRUE,1986-07-11,NaN,34,NaN
Tor Haugerud,Percussion,1962-01-07,NaN,TRUE,1962-01-07,NaN,58,NaN
Pål Hausken,Drums,1980-08-25,NaN,TRUE,1980-08-25,NaN,40,NaN
Manfred Hausleitner,Drums,1957-05-11,NaN,TRUE,1957-05-11,NaN,63,NaN
Louis Hayes,Drums,1937-05-31,NaN,TRUE,1937-05-31,NaN,83,NaN
Roy Haynes,Drums,1925-03-13,NaN,TRUE,1925-03-13,NaN,95,NaN
J. C. Heard,Drums,1917-08-10,1988-09-27,FALSE,1917-08-10,1988-09-27,71,Heart Attack
"Albert ""Tootie"" Heath",Drums,1935-05-31,NaN,TRUE,1935-05-31,NaN,85,NaN
Gerry Hemingway,Drums,1905-05-08,NaN,TRUE,1955-01-01,NaN,65,NaN
"Horacio ""El Negro"" Hernandez",Drums,1963-04-24,NaN,TRUE,1963-04-24,NaN,57,NaN
Billy Higgins,Drums,1936-10-11,2001-05-03,FALSE,1936-10-11,2001-05-03,64,Kidney Failure
Per Hillestad,Percussion,1959-03-25,NaN,TRUE,1959-03-25,NaN,61,NaN
Ari Hoenig,Drums,1973-11-13,NaN,TRUE,1973-11-13,NaN,46,NaN
Wetle Holte,Drums,1973-09-04,NaN,TRUE,1973-09-04,NaN,47,NaN
Bob Holz,Drums,1958-02-03,NaN,TRUE,1958-02-03,NaN,62,NaN
Martin Horntveth,Drums,1977-09-20,NaN,TRUE,1977-09-20,NaN,43,NaN
William Hooker,Drums,1905-04-29,NaN,TRUE,1946-01-01,NaN,74,NaN
Stix Hooper,Drums,1938-08-15,NaN,TRUE,1938-08-15,NaN,82,NaN
Hans Hulbækmo,Drums,1905-06-11,NaN,TRUE,1989-01-01,NaN,31,NaN
Roger Humphries,Drums,1944-01-30,NaN,TRUE,1944-01-30,NaN,76,NaN
Gary Husband,Drums,1960-06-14,NaN,TRUE,1960-06-14,NaN,60,NaN
Gregory Hutchinson,Drums,1905-05-23,NaN,TRUE,1970-01-01,NaN,50,NaN
Susie Ibarra,Drums,1905-05-23,NaN,TRUE,1970-01-01,NaN,50,NaN
Eric Ineke,Drums,1947-04-01,NaN,TRUE,1947-04-01,NaN,73,NaN
Terje Isungset,Drums,1964-05-04,NaN,TRUE,1964-05-04,NaN,56,NaN
Ronald Shannon Jackson,Drums,1940-01-12,2013-10-19,FALSE,1940-01-12,2013-10-19,73,Leukemia
Frank Jakobsen,Drums,1954-04-28,NaN,TRUE,1954-04-28,NaN,66,NaN
Marcin Jahr,Drums,1905-05-22,NaN,TRUE,1969-01-01,NaN,51,NaN
Clifford Jarvis,Drums,1905-04-24,1905-06-21,FALSE,1941-01-01,1999-01-01,57,NaN
Bjørn Jenssen,Drums,1905-05-12,NaN,TRUE,1959-01-01,NaN,61,NaN
Egil Johansen,Drums,1934-01-11,1998-12-04,FALSE,1934-01-11,1998-12-04,64,NaN
Håkon Mjåset Johansen,Drums,1975-08-01,NaN,TRUE,1975-08-01,NaN,45,NaN
Per Oddvar Johansen,Drums,1968-03-01,NaN,TRUE,1968-03-01,NaN,52,NaN
Roger Johansen,Drums,1972-07-29,NaN,TRUE,1972-07-29,NaN,48,NaN
Dink Johnson,Drums,1905-02-24,1905-05-07,FALSE,1882-01-01,1954-01-01,71,NaN
Gus Johnson,Drums,1913-11-15,2000-02-06,FALSE,1913-11-15,2000-02-06,86,Alzheimer's
Osie Johnson,Drums,1905-04-06,1905-05-19,FALSE,1923-01-01,1966-01-01,43,Kidney Failure
Elvin Jones,Drums,1927-09-09,2004-05-18,FALSE,1927-09-09,2004-05-18,76,Heart Failure
Jo Jones,Drums,1911-10-07,1985-09-03,FALSE,1911-10-07,1985-09-03,73,Pneumonia
Philly Joe Jones,Drums,1923-07-15,1985-08-30,FALSE,1923-07-15,1985-08-30,62,Heart Attack
Rusty Jones,Drums,1942-04-13,2015-12-09,FALSE,1942-04-13,2015-12-09,73,NaN
Willie Jones,Drums,1905-04-12,1905-06-13,FALSE,1929-01-01,1991-01-01,61,NaN
Robert Jospé,Drums,1950-04-17,NaN,TRUE,1950-04-17,NaN,70,NaN
Kenneth Kapstad,Drums,1979-04-20,NaN,TRUE,1979-04-20,NaN,41,NaN
Chris Karan,Drums,1905-04-22,NaN,TRUE,1939-01-01,NaN,81,NaN
Manu Katché,Drums,1958-10-27,NaN,TRUE,1958-10-27,NaN,61,NaN
Connie Kay,Drums,1927-04-27,1994-11-30,FALSE,1927-04-27,1994-11-30,67,Heart Attack
Franklin Kiermyer,Drums,1956-07-21,NaN,TRUE,1956-07-21,NaN,64,NaN
Johnny Klein,Drums,1905-04-01,1905-06-19,FALSE,1918-01-01,1997-01-01,79,Illness
Lala Kovačev,Drums,1939-11-19,2012-09-02,FALSE,1939-11-19,2012-09-02,72,NaN
Gene Krupa,Drums,1909-01-15,1973-10-16,FALSE,1909-01-15,1973-10-16,64,Heart Failure
David King,Drums,1905-05-23,NaN,TRUE,1970-01-01,NaN,50,NaN
Audun Kleive,Drums,1961-10-20,NaN,TRUE,1961-10-20,NaN,58,NaN
Andreas Lønmo Knudsrød,Drums,1982-01-01,NaN,TRUE,1982-01-01,NaN,38,NaN
Ivar Kolve,Vibraphone,1967-03-31,NaN,TRUE,1967-03-31,NaN,53,NaN
Joe LaBarbera,Drums,1948-02-22,NaN,TRUE,1948-02-22,NaN,72,NaN
Thomas Lang,Drums,1967-08-05,NaN,TRUE,1967-08-05,NaN,53,NaN
Pete La Roca,Drums,1938-04-07,2012-11-20,FALSE,1938-04-07,2012-11-20,74,Cancer (Lung)
Papa Jack Laine,Drums,1873-09-21,1966-06-01,FALSE,1873-09-21,1966-06-01,92,NaN
Stan Levey,Drums,1926-04-05,2005-04-19,FALSE,1926-04-05,2005-04-19,79,Surgery Complications
Torstein Lofthus,Drums,1977-03-10,NaN,TRUE,1977-03-10,NaN,43,NaN
Mel Lewis,Drums,1929-05-10,1990-02-02,FALSE,1929-05-10,1990-02-02,60,Cancer (Skin)
Henrik Lødøen,Drums,1991-10-20,NaN,TRUE,1991-10-20,NaN,28,NaN
Olavi Louhivuori,Drums,1981-07-13,NaN,TRUE,1981-07-13,NaN,39,NaN
Jojo Mayer,Drums,1963-01-18,NaN,TRUE,1963-01-18,NaN,57,NaN
Ray McKinley,Drums,1910-06-18,1995-05-07,FALSE,1910-06-18,1995-05-07,84,NaN
William McKinney,Drums,1905-03-09,1905-05-22,FALSE,1895-01-01,1969-01-01,74,NaN
Shelly Manne,Drums,1920-06-11,1984-09-26,FALSE,1920-06-11,1984-09-26,64,Heart Attack
Larance Marable,Drums,1905-04-12,1905-07-04,FALSE,1929-01-01,2012-01-01,82,NaN
Jason Marsalis,Drums,1977-03-04,NaN,TRUE,1977-03-04,NaN,43,NaN
Barrett Martin,Drums,1967-04-14,NaN,TRUE,1967-04-14,NaN,53,NaN
Billy Martin,Drums,1963-10-30,NaN,TRUE,1963-10-30,NaN,57,NaN
Harvey Mason,Drums,1947-02-22,NaN,TRUE,1947-02-22,NaN,73,NaN
Marilyn Mazur,Drums,1955-01-18,NaN,TRUE,1955-01-18,NaN,65,NaN
Butch Miles,Drums,1944-07-04,NaN,TRUE,1944-07-04,NaN,76,NaN
Mitch Mitchell,Drums,1946-07-09,2008-11-12,FALSE,1946-07-09,2008-11-12,62,Natural Causes
Charles Moffett,Drums,1929-09-06,1997-02-14,FALSE,1929-09-06,1997-02-14,67,NaN
Ole Mofjell,Drums,1990-07-11,NaN,TRUE,1990-07-11,NaN,30,NaN
Louis Moholo,Drums,1940-03-10,NaN,TRUE,1940-03-10,NaN,80,NaN
T. S. Monk,Drums,1949-12-27,NaN,TRUE,1949-12-27,NaN,70,NaN
Mark Mondesir,Drums,1905-05-17,NaN,TRUE,1964-01-01,NaN,56,NaN
Joe Morello,Drums,1928-07-17,2011-03-12,FALSE,1928-07-17,2011-03-12,82,NaN
Ikue Mori,Drums,1953-12-17,NaN,TRUE,1953-12-17,NaN,66,NaN
Paul Motian,Drums,1931-03-25,2011-11-22,FALSE,1931-03-25,2011-11-22,80,Cancer (Blood)
Alphonse Mouzon,Drums,1948-11-21,2016-12-25,FALSE,1948-11-21,2016-12-25,68,Heart Attack
Famoudou Don Moye,Drums,1946-05-23,NaN,TRUE,1946-05-23,NaN,74,NaN
Idris Muhammad,Drums,1939-11-13,2014-07-29,FALSE,1939-11-13,2014-07-29,74,Kidney Failure
Günter Müller,Drums,1905-05-07,NaN,TRUE,1954-01-01,NaN,66,NaN
Don Mumford,Drums,1905-05-07,1905-06-29,FALSE,1954-01-01,2007-01-01,53,Car Accident
Sunny Murray,Drums,1936-09-21,2017-12-07,FALSE,1936-09-21,2017-12-07,81,Multiple Organ Failure
Lewis Nash,Drums,1958-12-30,NaN,TRUE,1958-12-30,NaN,61,NaN
Adam Nussbaum,Drums,1955-11-29,NaN,TRUE,1955-11-29,NaN,64,NaN
Gard Nilssen,Drums,1983-06-24,NaN,TRUE,1983-06-24,NaN,37,NaN
Paal Nilssen-Love,Drums,1974-12-24,NaN,TRUE,1974-12-24,NaN,45,NaN
Helge Andreas Norbakken,Drums,1905-05-18,NaN,TRUE,1965-01-01,NaN,55,NaN
Hermund Nygård,Drums,1979-05-16,NaN,TRUE,1979-05-16,NaN,41,NaN
Erik Nylander,Drums,1981-04-03,NaN,TRUE,1981-04-03,NaN,39,NaN
Kim Ofstad,Drums,1969-11-25,NaN,TRUE,1969-11-25,NaN,50,NaN
Tom Olstad,Drums,1953-04-13,NaN,TRUE,1953-04-13,NaN,67,NaN
Tiger Onitsuka,Drums,1998-07-09,NaN,TRUE,1998-07-09,NaN,22,NaN
Kåre Opheim,Drums,1975-10-02,NaN,TRUE,1975-10-02,NaN,45,NaN
Bobby Orr,Drums,1905-04-11,1905-07-12,FALSE,1928-01-01,2020-01-01,92,NaN
Magnus Öström,Drums,1965-05-03,NaN,TRUE,1965-05-03,NaN,55,NaN
Tony Oxley,Drums,1938-06-15,NaN,TRUE,1938-06-15,NaN,82,NaN
Svein Øvergaard,Drums,1912-01-01,1986-11-23,FALSE,1912-01-01,1986-11-23,74,NaN
Earl Palmer,Drums,1924-10-25,2008-09-19,FALSE,1924-10-25,2008-09-19,83,Illness
Sonny Payne,Drums,1926-05-04,1979-01-29,FALSE,1926-05-04,1979-01-29,52,Pneumonia
Clarence Penn,Drums,1968-03-02,NaN,TRUE,1968-03-02,NaN,52,NaN
Charlie Persip,Drums,1929-07-26,2020-08-23,FALSE,1929-07-26,2020-08-23,91,NaN
"Ralph Peterson, Jr.",Drums,1962-05-20,NaN,TRUE,1962-05-20,NaN,58,NaN
Simon Phillips,Drums,1957-02-06,NaN,TRUE,1957-02-06,NaN,63,NaN
Ben Pollack,Drums,1903-06-22,1971-06-07,FALSE,1903-06-22,1971-06-07,67,Suicide
Joe Porcaro,Drums,1930-04-29,2020-07-06,FALSE,1930-04-29,2020-07-06,90,NaN
Richie Pratt,Drums,1943-03-11,2015-02-12,FALSE,1943-03-11,2015-02-12,71,NaN
Bobby Previte,Drums,1951-07-16,NaN,TRUE,1951-07-16,NaN,69,NaN
Bernard Purdie,Drums,1939-06-11,NaN,TRUE,1939-06-11,NaN,81,NaN
Buddy Rich,Drums,1917-09-30,1987-04-02,FALSE,1917-09-30,1987-04-02,69,Cancer (Brain)
Dannie Richmond,Drums,1931-12-15,1988-03-16,FALSE,1931-12-15,1988-03-16,56,Heart Attack
Alex Riel,Drums,1940-09-13,NaN,TRUE,1940-09-13,NaN,80,NaN
Karriem Riggins,Drums,1975-08-25,NaN,TRUE,1975-08-25,NaN,45,NaN
Ben Riley,Drums,1933-07-17,2017-11-18,FALSE,1933-07-17,2017-11-18,84,NaN
Herlin Riley,Drums,1957-02-15,NaN,TRUE,1957-02-15,NaN,63,NaN
John Riley,Drums,1954-06-11,NaN,TRUE,1954-06-11,NaN,66,NaN
Max Roach,Drums,1924-01-10,2007-08-16,FALSE,1924-01-10,2007-08-16,83,Alzheimer's
Jay Rosen,Drums,1961-11-20,NaN,TRUE,1961-11-20,NaN,58,NaN
Hal Russell,Drums,1926-08-28,1992-09-05,FALSE,1926-08-28,1992-09-05,66,Heart Attack
Bobby Sanabria,Drums,1957-06-02,NaN,TRUE,1957-06-02,NaN,63,NaN
Antonio Sánchez,Drums,1971-11-01,NaN,TRUE,1971-11-01,NaN,48,NaN
Ernst-Wiggo Sandbakk,Drums,1957-09-28,NaN,TRUE,1957-09-28,NaN,63,NaN
Red Saunders,Drums,1912-03-02,1981-03-05,FALSE,1912-03-02,1981-03-05,69,NaN
Aaron Scott,Drums,1905-05-09,NaN,TRUE,1956-01-01,NaN,64,NaN
Kendrick Scott,Drums,1980-07-08,NaN,TRUE,1980-07-08,NaN,40,NaN
Phil Seamen,Drums,1926-08-28,1972-10-13,FALSE,1926-08-28,1972-10-13,46,NaN
Ed Shaughnessy,Drums,1929-01-29,2013-05-24,FALSE,1929-01-29,2013-05-24,84,Car Accident
Michael Shrieve,Drums,1949-07-06,NaN,TRUE,1949-07-06,NaN,71,NaN
Zutty Singleton,Drums,1898-05-14,1975-07-14,FALSE,1898-05-14,1975-07-14,77,NaN
"Marvin ""Smitty"" Smith",Drums,1905-05-14,NaN,TRUE,1961-01-01,NaN,59,NaN
Michael S. Smith,Drums,1946-01-30,2006-01-02,FALSE,1946-01-30,2006-01-02,59,Cancer (Prostate)
Steve Smith,Drums,1954-08-21,NaN,TRUE,1954-08-21,NaN,66,NaN
Viola Smith,Drums,1912-11-29,NaN,TRUE,1912-11-29,NaN,107,NaN
Ed Soph,Drums,1905-04-28,NaN,TRUE,1945-01-01,NaN,75,NaN
